2026-03-23 10:36:24.071 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-23 10:36:24.076 [main] INFO  HTTP.StudentApiApplication - Starting StudentApiApplication using Java 1.8.0_212 on kaq with PID 21164 (D:\JavaCodeExercise\MavenProject\target\classes started by l1597 in D:\JavaCodeExercise\MavenProject)
2026-03-23 10:36:24.076 [main] INFO  HTTP.StudentApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-23 10:36:24.579 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-23 10:36:24.614 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 1 JPA repository interfaces.
2026-03-23 10:36:24.671 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[HTTP]' package. Please check your configuration.
2026-03-23 10:36:24.955 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-23 10:36:24.960 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-23 10:36:24.965 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-23 10:36:24.965 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-23 10:36:25.086 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-23 10:36:25.086 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 979 ms
2026-03-23 10:36:25.223 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-23 10:36:25.264 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-23 10:36:25.370 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-23 10:36:25.453 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-23 10:36:25.700 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-23 10:36:25.710 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-23 10:36:26.216 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-23 10:36:26.226 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-23 10:36:26.499 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-23 10:36:26.724 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-23 10:36:26.742 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-23 10:36:26.747 [main] INFO  HTTP.StudentApiApplication - Started StudentApiApplication in 2.954 seconds (JVM running for 3.536)
2026-03-23 11:28:23.248 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m26s850ms774µs600ns).
2026-03-23 13:41:08.797 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h57m45s342ms201µs300ns).
2026-03-23 15:01:30.026 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h12m51s125ms381µs500ns).
2026-03-23 15:12:27.444 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m27s351ms436µs500ns).
2026-03-23 15:35:01.829 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m4s274ms315µs100ns).
2026-03-23 20:54:06.260 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5h19m4s430ms302µs800ns).
2026-03-23 21:06:58.863 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-23 21:06:58.866 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-23 21:06:58.871 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-23 21:12:00.785 [main] INFO  HTTP.StudentApiApplication - Starting StudentApiApplication using Java 1.8.0_212 on kaq with PID 49560 (D:\JavaCodeExercise\MavenProject\target\classes started by l1597 in D:\JavaCodeExercise\MavenProject)
2026-03-23 21:12:00.785 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-23 21:12:00.785 [main] INFO  HTTP.StudentApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-23 21:12:01.285 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-23 21:12:01.316 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 1 JPA repository interfaces.
2026-03-23 21:12:01.372 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[HTTP]' package. Please check your configuration.
2026-03-23 21:12:01.650 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-23 21:12:01.656 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-23 21:12:01.656 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-23 21:12:01.656 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
